!Keysight Technologies,E4990A,MY54302532,A.03.02
!Date: Wed May 07 10:40:29 2025

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data
+8.60800010000e+004, +7.21197864816e+002, -8.76719953739e+001
+8.61919480000e+004, +7.20414123211e+002, -8.75097298186e+001
+8.63040400000e+004, +7.20229108021e+002, -8.73548009987e+001
+8.64162780000e+004, +7.20340130787e+002, -8.72379800134e+001
+8.65286620000e+004, +7.20547582646e+002, -8.71208816245e+001
+8.66411920000e+004, +7.21301342191e+002, -8.69747982103e+001
+8.67538690000e+004, +7.23168854933e+002, -8.68692592168e+001
+8.68666920000e+004, +7.24873177590e+002, -8.68635549121e+001
+8.69796620000e+004, +7.25595530652e+002, -8.69296708064e+001
+8.70927780000e+004, +7.25759691812e+002, -8.69951689958e+001
+8.72060420000e+004, +7.25542921359e+002, -8.70706120024e+001
+8.73194530000e+004, +7.24700271383e+002, -8.71309015559e+001
+8.74330120000e+004, +7.23800086823e+002, -8.71337923874e+001
+8.75467180000e+004, +7.23906401936e+002, -8.71031601263e+001
+8.76605720000e+004, +7.24810551756e+002, -8.71300319450e+001
+8.77745740000e+004, +7.25215008525e+002, -8.72190999991e+001
+8.78887250000e+004, +7.25042311548e+002, -8.73148333513e+001
+8.80030240000e+004, +7.24351331027e+002, -8.74029866279e+001
+8.81174710000e+004, +7.23384273629e+002, -8.74501494360e+001
+8.82320680000e+004, +7.22956921987e+002, -8.74813428620e+001
+8.83468130000e+004, +7.22805839740e+002, -8.75680315223e+001
+8.84617080000e+004, +7.22034591664e+002, -8.76684884131e+001
+8.85767520000e+004, +7.21018662964e+002, -8.77473208864e+001
+8.86919460000e+004, +7.19885894212e+002, -8.78270802840e+001
+8.88072890000e+004, +7.18549063623e+002, -8.78885138887e+001
+8.89227830000e+004, +7.17218717083e+002, -8.79399182242e+001
+8.90384260000e+004, +7.15766365869e+002, -8.79836256412e+001
+8.91542200000e+004, +7.14321160535e+002, -8.80048479635e+001
+8.92701650000e+004, +7.13105726326e+002, -8.80180092032e+001
+8.93862610000e+004, +7.12061942758e+002, -8.80363357607e+001
+8.95025070000e+004, +7.11052571075e+002, -8.80697137789e+001
+8.96189050000e+004, +7.09905921746e+002, -8.81060431921e+001
+8.97354540000e+004, +7.08694089549e+002, -8.81357957935e+001
+8.98521540000e+004, +7.07405753671e+002, -8.81576090586e+001
+8.99690070000e+004, +7.06215798364e+002, -8.81743168158e+001
+9.00860110000e+004, +7.05065854045e+002, -8.81955214703e+001
+9.02031680000e+004, +7.03880676430e+002, -8.82252008474e+001
+9.03204760000e+004, +7.02559652156e+002, -8.82488917867e+001
+9.04379380000e+004, +7.01238907349e+002, -8.82646036327e+001
+9.05555520000e+004, +6.99945189292e+002, -8.82767220984e+001
+9.06733190000e+004, +6.98646842415e+002, -8.82838139149e+001
+9.07912390000e+004, +6.97373315885e+002, -8.82845718063e+001
+9.09093130000e+004, +6.96218024696e+002, -8.82792451345e+001
+9.10275400000e+004, +6.95210605251e+002, -8.82807909008e+001
+9.11459210000e+004, +6.94183821162e+002, -8.82984945726e+001
+9.12644560000e+004, +6.92970511682e+002, -8.83143646159e+001
+9.13831450000e+004, +6.91749044455e+002, -8.83248134188e+001
+9.15019880000e+004, +6.90527314571e+002, -8.83308848033e+001
+9.16209860000e+004, +6.89302639546e+002, -8.83354617326e+001
+9.17401390000e+004, +6.88068057259e+002, -8.83363085007e+001
+9.18594470000e+004, +6.86809253794e+002, -8.83320660344e+001
+9.19789100000e+004, +6.85584119306e+002, -8.83200297670e+001
+9.20985280000e+004, +6.84466209658e+002, -8.82982155415e+001
+9.22183020000e+004, +6.83555771758e+002, -8.82751821324e+001
+9.23382310000e+004, +6.82893477851e+002, -8.82702750329e+001
+9.24583170000e+004, +6.82066772506e+002, -8.82971140674e+001
+9.25785580000e+004, +6.80930863302e+002, -8.83187087662e+001
+9.26989560000e+004, +6.79774384799e+002, -8.83288443239e+001
+9.28195110000e+004, +6.78589892067e+002, -8.83349440284e+001
+9.29402220000e+004, +6.77420764735e+002, -8.83354010423e+001
+9.30610910000e+004, +6.76269658063e+002, -8.83332537347e+001
+9.31821160000e+004, +6.75118003807e+002, -8.83285696973e+001
+9.33032990000e+004, +6.74036701627e+002, -8.83175011512e+001
+9.34246400000e+004, +6.73037966366e+002, -8.83104077891e+001
+9.35461380000e+004, +6.71999058113e+002, -8.83064699907e+001
+9.36677940000e+004, +6.71005343297e+002, -8.82993373232e+001
+9.37896090000e+004, +6.70058419017e+002, -8.82951936061e+001
+9.39115820000e+004, +6.69136979077e+002, -8.82995254946e+001
+9.40337140000e+004, +6.68110486676e+002, -8.83055221653e+001
+9.41560040000e+004, +6.67067234178e+002, -8.83078255444e+001
+9.42784540000e+004, +6.65981142260e+002, -8.83106787563e+001
+9.44010620000e+004, +6.64896841947e+002, -8.83041130165e+001
+9.45238310000e+004, +6.63940021391e+002, -8.82967595689e+001
+9.46467580000e+004, +6.62993986721e+002, -8.82965357458e+001
+9.47698460000e+004, +6.62025858735e+002, -8.82950207582e+001
+9.48930940000e+004, +6.61105792087e+002, -8.82986182771e+001
+9.50165020000e+004, +6.60147507393e+002, -8.83086664338e+001
+9.51400710000e+004, +6.59078027949e+002, -8.83211467413e+001
+9.52638000000e+004, +6.57934949636e+002, -8.83259147309e+001
+9.53876900000e+004, +6.56857587063e+002, -8.83240166512e+001
+9.55117410000e+004, +6.55787312731e+002, -8.83254199653e+001
+9.56359540000e+004, +6.54686245728e+002, -8.83291161942e+001
+9.57603280000e+004, +6.53520189721e+002, -8.83265531801e+001
+9.58848640000e+004, +6.52416189968e+002, -8.83178127873e+001
+9.60095620000e+004, +6.51357813733e+002, -8.83099971400e+001
+9.61344220000e+004, +6.50279318728e+002, -8.83025242972e+001
+9.62594440000e+004, +6.49208563692e+002, -8.82904513256e+001
+9.63846290000e+004, +6.48239169698e+002, -8.82743047538e+001
+9.65099770000e+004, +6.47366485460e+002, -8.82663981006e+001
+9.66354880000e+004, +6.46440328967e+002, -8.82719686319e+001
+9.67611620000e+004, +6.45359698879e+002, -8.82762132190e+001
+9.68870000000e+004, +6.44288330442e+002, -8.82725794733e+001
+9.70130010000e+004, +6.43209664362e+002, -8.82669078135e+001
+9.71391660000e+004, +6.42128815294e+002, -8.82610072183e+001
+9.72654950000e+004, +6.41063256425e+002, -8.82506588531e+001
+9.73919880000e+004, +6.39991060731e+002, -8.82378524149e+001
+9.75186460000e+004, +6.38985003313e+002, -8.82220579618e+001
+9.76454690000e+004, +6.37984636742e+002, -8.82015123921e+001
+9.77724560000e+004, +6.37158857734e+002, -8.81800319500e+001
+9.78996090000e+004, +6.36439601853e+002, -8.81725572268e+001
+9.80269270000e+004, +6.35676577011e+002, -8.81841972969e+001
+9.81544100000e+004, +6.34716792922e+002, -8.82011126937e+001
+9.82820600000e+004, +6.33632298403e+002, -8.82099530802e+001
+9.84098750000e+004, +6.32542117403e+002, -8.82112238316e+001
+9.85378570000e+004, +6.31461425696e+002, -8.82095292983e+001
+9.86660050000e+004, +6.30413177876e+002, -8.82079849741e+001
+9.87943200000e+004, +6.29344580201e+002, -8.82047395608e+001
+9.89228010000e+004, +6.28289574759e+002, -8.81988208395e+001
+9.90514500000e+004, +6.27270172923e+002, -8.81974156098e+001
+9.91802660000e+004, +6.26228295842e+002, -8.81968789757e+001
+9.93092500000e+004, +6.25125404408e+002, -8.81997667105e+001
+9.94384010000e+004, +6.23970778600e+002, -8.82001640187e+001
+9.95677200000e+004, +6.22775830541e+002, -8.81943288085e+001
+9.96972070000e+004, +6.21615830954e+002, -8.81813251522e+001
+9.98268630000e+004, +6.20456698946e+002, -8.81702451747e+001
+9.99566880000e+004, +6.19297617139e+002, -8.81540904452e+001
+1.00086681000e+005, +6.18201518987e+002, -8.81351195971e+001
+1.00216843000e+005, +6.17144687637e+002, -8.81212743046e+001
+1.00347175000e+005, +6.16067811092e+002, -8.81113769174e+001
+1.00477676000e+005, +6.14938756728e+002, -8.80997678701e+001
+1.00608347000e+005, +6.13827022012e+002, -8.80860274027e+001
+1.00739187000e+005, +6.12701791725e+002, -8.80789710817e+001
+1.00870198000e+005, +6.11463840182e+002, -8.80698655474e+001
+1.01001380000e+005, +6.10205847130e+002, -8.80489584386e+001
+1.01132732000e+005, +6.09005304664e+002, -8.80290069644e+001
+1.01264254000e+005, +6.07767820367e+002, -8.80104298082e+001
+1.01395948000e+005, +6.06469173082e+002, -8.79861175724e+001
+1.01527813000e+005, +6.05203396588e+002, -8.79551806554e+001
+1.01659849000e+005, +6.03953450100e+002, -8.79246095428e+001
+1.01792058000e+005, +6.02671996334e+002, -8.78913244305e+001
+1.01924438000e+005, +6.01409664687e+002, -8.78559768296e+001
+1.02056990000e+005, +6.00117937672e+002, -8.78214898648e+001
+1.02189715000e+005, +5.98743528879e+002, -8.77835814928e+001
+1.02322612000e+005, +5.97337384935e+002, -8.77393549668e+001
+1.02455682000e+005, +5.95869301871e+002, -8.76889836706e+001
+1.02588925000e+005, +5.94356907719e+002, -8.76250096650e+001
+1.02722342000e+005, +5.92875875651e+002, -8.75535754678e+001
+1.02855932000e+005, +5.91302783034e+002, -8.74659021520e+001
+1.02989696000e+005, +5.89825721542e+002, -8.73640142432e+001
+1.03123633000e+005, +5.88406487112e+002, -8.72576595875e+001
+1.03257745000e+005, +5.86905382487e+002, -8.71441873498e+001
+1.03392031000e+005, +5.85319038126e+002, -8.70100487023e+001
+1.03526492000e+005, +5.83683840996e+002, -8.68458428642e+001
+1.03661128000e+005, +5.82087293272e+002, -8.66399661942e+001
+1.03795939000e+005, +5.80704493568e+002, -8.63839383841e+001
+1.03930925000e+005, +5.79770054374e+002, -8.60847813083e+001
+1.04066087000e+005, +5.79307508578e+002, -8.57517468883e+001
+1.04201424000e+005, +5.79799479294e+002, -8.53598371045e+001
+1.04336938000e+005, +5.82917414193e+002, -8.53656273342e+001
+1.04472628000e+005, +5.83378106545e+002, -8.51595767181e+001
+1.04608494000e+005, +5.84479079966e+002, -8.48891688109e+001
+1.04744537000e+005, +5.86587663130e+002, -8.46121473872e+001
+1.04880757000e+005, +5.89732987489e+002, -8.43971758868e+001
+1.05017154000e+005, +5.93415470711e+002, -8.42797884691e+001
+1.05153728000e+005, +5.97449564052e+002, -8.42514848465e+001
+1.05290480000e+005, +6.01627982758e+002, -8.43549559898e+001
+1.05427410000e+005, +6.05120570909e+002, -8.45829447777e+001
+1.05564518000e+005, +6.07558974486e+002, -8.48758777264e+001
+1.05701804000e+005, +6.08976123722e+002, -8.52041927147e+001
+1.05839269000e+005, +6.09285029556e+002, -8.55232881235e+001
+1.05976912000e+005, +6.08942500073e+002, -8.57939553341e+001
+1.06114735000e+005, +6.08330441543e+002, -8.60319334544e+001
+1.06252737000e+005, +6.07400801813e+002, -8.62482174665e+001
+1.06390918000e+005, +6.06223488976e+002, -8.64247936792e+001
+1.06529279000e+005, +6.05075213140e+002, -8.65703880181e+001
+1.06667820000e+005, +6.03953304970e+002, -8.67154214244e+001
+1.06806541000e+005, +6.02614959180e+002, -8.68433349749e+001
+1.06945442000e+005, +6.01287211453e+002, -8.69439859153e+001
+1.07084524000e+005, +6.00103098530e+002, -8.70358940358e+001
+1.07223787000e+005, +5.98913597952e+002, -8.71347963049e+001
+1.07363231000e+005, +5.97582774110e+002, -8.72245378170e+001
+1.07502857000e+005, +5.96248984220e+002, -8.72997746380e+001
+1.07642664000e+005, +5.94896508814e+002, -8.73672412301e+001
+1.07782653000e+005, +5.93565479721e+002, -8.74219766366e+001
+1.07922824000e+005, +5.92336183303e+002, -8.74746834032e+001
+1.08063177000e+005, +5.91025118439e+002, -8.75286515188e+001
+1.08203713000e+005, +5.89704913527e+002, -8.75680882348e+001
+1.08344431000e+005, +5.88457197866e+002, -8.76045693586e+001
+1.08485333000e+005, +5.87200437719e+002, -8.76375701781e+001
+1.08626417000e+005, +5.85899790547e+002, -8.76601305191e+001
+1.08767685000e+005, +5.84714660390e+002, -8.76729641346e+001
+1.08909137000e+005, +5.83614308953e+002, -8.76821849855e+001
+1.09050773000e+005, +5.82612132665e+002, -8.76921531868e+001
+1.09192593000e+005, +5.81723794237e+002, -8.77092080362e+001
+1.09334598000e+005, +5.80763053014e+002, -8.77409025308e+001
+1.09476787000e+005, +5.79711632621e+002, -8.77650747460e+001
+1.09619161000e+005, +5.78725445262e+002, -8.77889103775e+001
+1.09761720000e+005, +5.77646973780e+002, -8.78164178813e+001
+1.09904465000e+005, +5.76527340913e+002, -8.78325370534e+001
+1.10047395000e+005, +5.75486566670e+002, -8.78374211564e+001
+1.10190512000e+005, +5.74544538340e+002, -8.78460068961e+001
+1.10333814000e+005, +5.73589856856e+002, -8.78575508836e+001
+1.10477303000e+005, +5.72695774195e+002, -8.78645618145e+001
+1.10620978000e+005, +5.71922723140e+002, -8.78833139110e+001
+1.10764840000e+005, +5.71042493904e+002, -8.79177866388e+001
+1.10908889000e+005, +5.70006704109e+002, -8.79471187242e+001
+1.11053126000e+005, +5.68931320363e+002, -8.79657100339e+001
+1.11197550000e+005, +5.67895969740e+002, -8.79780364424e+001
+1.11342162000e+005, +5.66928568149e+002, -8.79883380975e+001
+1.11486962000e+005, +5.65956201554e+002, -8.80042951054e+001
+1.11631950000e+005, +5.64945979718e+002, -8.80184021377e+001
+1.11777127000e+005, +5.63943297302e+002, -8.80250920982e+001
+1.11922493000e+005, +5.63006631064e+002, -8.80316961644e+001
+1.12068048000e+005, +5.62044429583e+002, -8.80419984755e+001
+1.12213792000e+005, +5.61102838524e+002, -8.80486785840e+001
+1.12359725000e+005, +5.60230608813e+002, -8.80612208304e+001
+1.12505848000e+005, +5.59314191271e+002, -8.80800895693e+001
+1.12652162000e+005, +5.58312927001e+002, -8.80967119548e+001
+1.12798666000e+005, +5.57271854694e+002, -8.81059112506e+001
+1.12945360000e+005, +5.56285116646e+002, -8.81065544000e+001
+1.13092245000e+005, +5.55358674756e+002, -8.81083470486e+001
+1.13239321000e+005, +5.54468675003e+002, -8.81173864339e+001
+1.13386588000e+005, +5.53519967589e+002, -8.81283904383e+001
+1.13534047000e+005, +5.52505431887e+002, -8.81341241259e+001
+1.13681697000e+005, +5.51529005597e+002, -8.81385518705e+001
+1.13829540000e+005, +5.50594880343e+002, -8.81424962715e+001
+1.13977575000e+005, +5.49653818773e+002, -8.81461694840e+001
+1.14125802000e+005, +5.48713253982e+002, -8.81478857879e+001
+1.14274222000e+005, +5.47742027428e+002, -8.81460172010e+001
+1.14422835000e+005, +5.46861999008e+002, -8.81462459211e+001
+1.14571642000e+005, +5.45995665835e+002, -8.81451047636e+001
+1.14720642000e+005, +5.45137394284e+002, -8.81495725391e+001
+1.14869835000e+005, +5.44231567294e+002, -8.81560182187e+001
+1.15019223000e+005, +5.43299414674e+002, -8.81591677875e+001
+1.15168805000e+005, +5.42392994531e+002, -8.81572189012e+001
+1.15318582000e+005, +5.41520279712e+002, -8.81556536497e+001
+1.15468553000e+005, +5.40656801846e+002, -8.81560843592e+001
+1.15618720000e+005, +5.39791799745e+002, -8.81581108350e+001
+1.15769081000e+005, +5.38917799409e+002, -8.81623757541e+001
+1.15919638000e+005, +5.38025950018e+002, -8.81654759230e+001
+1.16070391000e+005, +5.37119972551e+002, -8.81657030764e+001
+1.16221341000e+005, +5.36224992940e+002, -8.81634316059e+001
+1.16372486000e+005, +5.35353790204e+002, -8.81622578228e+001
+1.16523828000e+005, +5.34483981994e+002, -8.81612964260e+001
+1.16675367000e+005, +5.33633270683e+002, -8.81591990668e+001
+1.16827102000e+005, +5.32789578686e+002, -8.81598417402e+001
+1.16979036000e+005, +5.31942003344e+002, -8.81590514972e+001
+1.17131166000e+005, +5.31089491569e+002, -8.81584867139e+001
+1.17283495000e+005, +5.30250118848e+002, -8.81602567774e+001
+1.17436022000e+005, +5.29380550665e+002, -8.81631271733e+001
+1.17588747000e+005, +5.28509721135e+002, -8.81645645720e+001
+1.17741670000e+005, +5.27651476988e+002, -8.81634286905e+001
+1.17894793000e+005, +5.26791439471e+002, -8.81623375328e+001
+1.18048115000e+005, +5.25947910956e+002, -8.81618206946e+001
+1.18201636000e+005, +5.25093885941e+002, -8.81622514451e+001
+1.18355356000e+005, +5.24243585121e+002, -8.81636947979e+001
+1.18509277000e+005, +5.23342621712e+002, -8.81653821682e+001
+1.18663398000e+005, +5.22460738044e+002, -8.81609670529e+001
+1.18817719000e+005, +5.21622440029e+002, -8.81553571358e+001
+1.18972241000e+005, +5.20809108827e+002, -8.81550020808e+001
+1.19126964000e+005, +5.19924953204e+002, -8.81598009871e+001
+1.19281888000e+005, +5.18971292645e+002, -8.81569041191e+001
+1.19437014000e+005, +5.18056008923e+002, -8.81428754571e+001
+1.19592341000e+005, +5.17239540238e+002, -8.81271297632e+001
+1.19747870000e+005, +5.16467109580e+002, -8.81199264497e+001
+1.19903602000e+005, +5.15628959087e+002, -8.81140235831e+001
+1.20059536000e+005, +5.14785773345e+002, -8.81039860406e+001
+1.20215673000e+005, +5.13969288385e+002, -8.80908663416e+001
+1.20372013000e+005, +5.13169805989e+002, -8.80702216816e+001
+1.20528556000e+005, +5.12535310945e+002, -8.80455515783e+001
+1.20685303000e+005, +5.12061456307e+002, -8.80388544692e+001
+1.20842254000e+005, +5.11506705284e+002, -8.80626917554e+001
+1.20999409000e+005, +5.10713277359e+002, -8.80924162576e+001
+1.21156768000e+005, +5.09787426186e+002, -8.81117541007e+001
+1.21314332000e+005, +5.08809206013e+002, -8.81142757339e+001
+1.21472101000e+005, +5.07895151943e+002, -8.81068913866e+001
+1.21630075000e+005, +5.07049560510e+002, -8.80992474823e+001
+1.21788254000e+005, +5.06212101626e+002, -8.80928979591e+001
+1.21946639000e+005, +5.05373782045e+002, -8.80798062569e+001
+1.22105230000e+005, +5.04609500358e+002, -8.80677007624e+001
+1.22264028000e+005, +5.03884592969e+002, -8.80572613811e+001
+1.22423032000e+005, +5.03178215248e+002, -8.80519421945e+001
+1.22582242000e+005, +5.02469810272e+002, -8.80492901017e+001
+1.22741660000e+005, +5.01798678832e+002, -8.80514505679e+001
+1.22901285000e+005, +5.01085122857e+002, -8.80629384028e+001
+1.23061118000e+005, +5.00272263687e+002, -8.80764898286e+001
+1.23221158000e+005, +4.99440835505e+002, -8.80818518517e+001
+1.23381407000e+005, +4.98616728946e+002, -8.80870128812e+001
+1.23541864000e+005, +4.97769957054e+002, -8.80916211670e+001
+1.23702529000e+005, +4.96912993377e+002, -8.80952310546e+001
+1.23863404000e+005, +4.96031428520e+002, -8.80994257633e+001
+1.24024488000e+005, +4.95102691653e+002, -8.81003848422e+001
+1.24185781000e+005, +4.94117432927e+002, -8.80922078443e+001
+1.24347284000e+005, +4.93243122783e+002, -8.80744725783e+001
+1.24508997000e+005, +4.92380879040e+002, -8.80493267749e+001
+1.24670921000e+005, +4.91630600815e+002, -8.80232222278e+001
+1.24833055000e+005, +4.90857395396e+002, -8.79938178874e+001
+1.24995400000e+005, +4.90260096195e+002, -8.79684697923e+001
+1.25157956000e+005, +4.89782415470e+002, -8.79675090329e+001
+1.25320723000e+005, +4.89112553020e+002, -8.79801420736e+001
+1.25483702000e+005, +4.88313036426e+002, -8.79760522572e+001
+1.25646893000e+005, +4.87531129427e+002, -8.79814800124e+001
+1.25810297000e+005, +4.86818514831e+002, -8.79778466212e+001
+1.25973912000e+005, +4.86136870403e+002, -8.79710102534e+001
+1.26137741000e+005, +4.85485080497e+002, -8.79792285433e+001
+1.26301782000e+005, +4.84687114440e+002, -8.80009251358e+001
+1.26466037000e+005, +4.83888690987e+002, -8.79987550592e+001
+1.26630506000e+005, +4.83104699772e+002, -8.79950855136e+001
+1.26795188000e+005, +4.82373653884e+002, -8.79931589041e+001
+1.26960085000e+005, +4.81591671303e+002, -8.80010945869e+001
+1.27125196000e+005, +4.80807602903e+002, -8.80020922640e+001
+1.27290522000e+005, +4.79983592754e+002, -8.79942097940e+001
+1.27456063000e+005, +4.79243017164e+002, -8.79902389043e+001
+1.27621819000e+005, +4.78551494427e+002, -8.79942473072e+001
+1.27787790000e+005, +4.77676951314e+002, -8.80019871065e+001
+1.27953978000e+005, +4.76861726576e+002, -8.80038546308e+001
+1.28120382000e+005, +4.76056223894e+002, -8.79989633039e+001
+1.28287002000e+005, +4.75213002325e+002, -8.79959108949e+001
+1.28453838000e+005, +4.74332413074e+002, -8.79957379668e+001
+1.28620892000e+005, +4.73574601486e+002, -8.79852835786e+001
+1.28788163000e+005, +4.72726290514e+002, -8.79840487577e+001
+1.28955651000e+005, +4.71759655444e+002, -8.79751690925e+001
+1.29123358000e+005, +4.70822822335e+002, -8.79484657133e+001
+1.29291282000e+005, +4.70057552733e+002, -8.79146897102e+001
+1.29459425000e+005, +4.69243713209e+002, -8.78796417409e+001
+1.29627786000e+005, +4.68516061400e+002, -8.78438671963e+001
+1.29796367000e+005, +4.67959523853e+002, -8.77896873343e+001
+1.29965166000e+005, +4.67618173738e+002, -8.77583110803e+001
+1.30134186000e+005, +4.67291428551e+002, -8.77551790783e+001
+1.30303425000e+005, +4.66983955282e+002, -8.77600897863e+001
+1.30472884000e+005, +4.66557485443e+002, -8.78033405376e+001
+1.30642563000e+005, +4.65859711984e+002, -8.78364312585e+001
+1.30812463000e+005, +4.65070172245e+002, -8.78695875905e+001
+1.30982584000e+005, +4.64310408657e+002, -8.78866204918e+001
+1.31152927000e+005, +4.63403584946e+002, -8.79008125155e+001
+1.31323490000e+005, +4.62585008675e+002, -8.78948022799e+001
+1.31494276000e+005, +4.61853662043e+002, -8.78855123567e+001
+1.31665284000e+005, +4.61164317581e+002, -8.79037997356e+001
+1.31836514000e+005, +4.60365144428e+002, -8.79242665353e+001
+1.32007967000e+005, +4.59398916353e+002, -8.79264781569e+001
+1.32179643000e+005, +4.58619039996e+002, -8.79131016507e+001
+1.32351542000e+005, +4.57865679091e+002, -8.78999586891e+001
+1.32523664000e+005, +4.57178314140e+002, -8.78980098261e+001
+1.32696011000e+005, +4.56394128592e+002, -8.79001571232e+001
+1.32868581000e+005, +4.55667699183e+002, -8.78985433427e+001
+1.33041376000e+005, +4.54957519205e+002, -8.79030937242e+001
+1.33214396000e+005, +4.54127988745e+002, -8.79144679285e+001
+1.33387641000e+005, +4.53268305949e+002, -8.79182931921e+001
+1.33561111000e+005, +4.52438761614e+002, -8.79044494916e+001
+1.33734807000e+005, +4.51683679293e+002, -8.78992600834e+001
+1.33908728000e+005, +4.50908140309e+002, -8.78950892013e+001
+1.34082876000e+005, +4.50085058766e+002, -8.78819180539e+001
+1.34257250000e+005, +4.49350485577e+002, -8.78636254425e+001
+1.34431851000e+005, +4.48720965674e+002, -8.78565273065e+001
+1.34606679000e+005, +4.48044019634e+002, -8.78622791817e+001
+1.34781735000e+005, +4.47250334882e+002, -8.78571317274e+001
+1.34957018000e+005, +4.46540818824e+002, -8.78631459545e+001
+1.35132529000e+005, +4.45727347065e+002, -8.78522509023e+001
+1.35308268000e+005, +4.44969330510e+002, -8.78445416989e+001
+1.35484236000e+005, +4.44327162412e+002, -8.78329230553e+001
+1.35660433000e+005, +4.43647550035e+002, -8.78376041416e+001
+1.35836859000e+005, +4.42921509523e+002, -8.78370916059e+001
+1.36013514000e+005, +4.42155613455e+002, -8.78443057312e+001
+1.36190399000e+005, +4.41348576853e+002, -8.78579406872e+001
+1.36367514000e+005, +4.40594786384e+002, -8.78536592788e+001
+1.36544859000e+005, +4.39730401879e+002, -8.78513471596e+001
+1.36722435000e+005, +4.38861245653e+002, -8.78384962607e+001
+1.36900242000e+005, +4.38041170914e+002, -8.78298809689e+001
+1.37078280000e+005, +4.37228695813e+002, -8.78113656457e+001
+1.37256550000e+005, +4.36458908604e+002, -8.77782604692e+001
+1.37435052000e+005, +4.35798047210e+002, -8.77559260685e+001
+1.37613786000e+005, +4.35178538813e+002, -8.77369986713e+001
+1.37792752000e+005, +4.34602486380e+002, -8.77290121626e+001
+1.37971951000e+005, +4.33983389342e+002, -8.77244813943e+001
+1.38151383000e+005, +4.33379433694e+002, -8.77342980014e+001
+1.38331048000e+005, +4.32669885234e+002, -8.77436626073e+001
+1.38510947000e+005, +4.31981896627e+002, -8.77511617593e+001
+1.38691080000e+005, +4.31204815357e+002, -8.77539072902e+001
+1.38871447000e+005, +4.30430096671e+002, -8.77674189423e+001
+1.39052049000e+005, +4.29623820222e+002, -8.77685438859e+001
+1.39232885000e+005, +4.28817649258e+002, -8.77654381957e+001
+1.39413957000e+005, +4.28109305326e+002, -8.77654780408e+001
+1.39595264000e+005, +4.27281053988e+002, -8.77640798231e+001
+1.39776807000e+005, +4.26536918099e+002, -8.77672172921e+001
+1.39958587000e+005, +4.25733399280e+002, -8.77648700139e+001
+1.40140602000e+005, +4.24872762745e+002, -8.77605064278e+001
+1.40322854000e+005, +4.24102047136e+002, -8.77551192717e+001
+1.40505344000e+005, +4.23325003131e+002, -8.77516757903e+001
+1.40688070000e+005, +4.22469764026e+002, -8.77493122022e+001
+1.40871035000e+005, +4.21639840266e+002, -8.77378399816e+001
+1.41054237000e+005, +4.20785273508e+002, -8.77288988370e+001
+1.41237677000e+005, +4.19976133393e+002, -8.77218699315e+001
+1.41421356000e+005, +4.19185417173e+002, -8.77004664164e+001
+1.41605274000e+005, +4.18371140876e+002, -8.76855654697e+001
+1.41789431000e+005, +4.17647951304e+002, -8.76785869214e+001
+1.41973828000e+005, +4.16827128783e+002, -8.76697038319e+001
+1.42158464000e+005, +4.15997052950e+002, -8.76635525653e+001
+1.42343341000e+005, +4.15125798000e+002, -8.76400650574e+001
+1.42528458000e+005, +4.14290831839e+002, -8.76252490509e+001
+1.42713815000e+005, +4.13446466233e+002, -8.75957006171e+001
+1.42899414000e+005, +4.12688439247e+002, -8.75780364442e+001
+1.43085254000e+005, +4.11894324222e+002, -8.75630573069e+001
+1.43271336000e+005, +4.11114061998e+002, -8.75437489997e+001
+1.43457660000e+005, +4.10254139401e+002, -8.75237128842e+001
+1.43644226000e+005, +4.09428032290e+002, -8.75055672065e+001
+1.43831034000e+005, +4.08524734379e+002, -8.74829345984e+001
+1.44018086000e+005, +4.07602234220e+002, -8.74482067467e+001
+1.44205381000e+005, +4.06702948819e+002, -8.74016416515e+001
+1.44392920000e+005, +4.05774481565e+002, -8.73440960270e+001
+1.44580702000e+005, +4.04926576787e+002, -8.72785629201e+001
+1.44768729000e+005, +4.04128631126e+002, -8.72126947865e+001
+1.44957000000e+005, +4.03274756572e+002, -8.71399663716e+001
+1.45145516000e+005, +4.02465345576e+002, -8.70439140708e+001
+1.45334277000e+005, +4.01747550943e+002, -8.69422770834e+001
+1.45523283000e+005, +4.01091021873e+002, -8.68248067943e+001
+1.45712536000e+005, +4.00647676328e+002, -8.67073488407e+001
+1.45902034000e+005, +4.00351157387e+002, -8.66025169778e+001
+1.46091779000e+005, +4.00082709376e+002, -8.65137302179e+001
+1.46281771000e+005, +3.99755665255e+002, -8.64337138664e+001
+1.46472010000e+005, +3.99573846246e+002, -8.63434083209e+001
+1.46662496000e+005, +3.99544381079e+002, -8.62686270209e+001
+1.46853230000e+005, +3.99407656448e+002, -8.62161682409e+001
+1.47044212000e+005, +3.99238090171e+002, -8.61878888987e+001
+1.47235443000e+005, +3.99110922053e+002, -8.61580203270e+001
+1.47426922000e+005, +3.98901349921e+002, -8.61515355891e+001
+1.47618650000e+005, +3.98521231036e+002, -8.61426115893e+001
+1.47810627000e+005, +3.98197443767e+002, -8.61193006332e+001
+1.48002854000e+005, +3.98004564969e+002, -8.61017913617e+001
+1.48195331000e+005, +3.97795567438e+002, -8.60887034340e+001
+1.48388059000e+005, +3.97625482299e+002, -8.60834523240e+001
+1.48581037000e+005, +3.97416342537e+002, -8.60978273751e+001
