!Keysight Technologies,E4990A,MY54302532,A.03.02
!Date: Wed May 07 10:40:02 2025

BEGIN CH1_DATA
Frequency(Hz), R(Ohm)-data, X(Ohm)-data
+8.60800010000e+004, +2.89364018270e+001, -7.20278863698e+002
+8.61919480000e+004, +3.08210955212e+001, -7.19266757005e+002
+8.63040400000e+004, +3.27451771308e+001, -7.18811325078e+002
+8.64162780000e+004, +3.43988215651e+001, -7.18799537255e+002
+8.65286620000e+004, +3.58862247439e+001, -7.18698278784e+002
+8.66411920000e+004, +3.79661943160e+001, -7.19311607293e+002
+8.67538690000e+004, +3.96579243083e+001, -7.20845166229e+002
+8.68666920000e+004, +4.00665695754e+001, -7.22723213681e+002
+8.69796620000e+004, +3.93929084981e+001, -7.23708229235e+002
+8.70927780000e+004, +3.86082441086e+001, -7.24057963487e+002
+8.72060420000e+004, +3.76156599909e+001, -7.24054144499e+002
+8.73194530000e+004, +3.67683003400e+001, -7.23317401746e+002
+8.74330120000e+004, +3.66775375059e+001, -7.22433665810e+002
+8.75467180000e+004, +3.71311573355e+001, -7.22544958698e+002
+8.76605720000e+004, +3.68882902699e+001, -7.23537585535e+002
+8.77745740000e+004, +3.58084700601e+001, -7.24118087248e+002
+8.78887250000e+004, +3.45598399596e+001, -7.24105699853e+002
+8.80030240000e+004, +3.33856446415e+001, -7.23505996875e+002
+8.81174710000e+004, +3.26615114677e+001, -7.22578254476e+002
+8.82320680000e+004, +3.22249571801e+001, -7.22191945633e+002
+8.83468130000e+004, +3.11172247477e+001, -7.22131694191e+002
+8.84617080000e+004, +2.98249652657e+001, -7.21455448635e+002
+8.85767520000e+004, +2.87646876908e+001, -7.20520404530e+002
+8.86919460000e+004, +2.77031331268e+001, -7.19442241639e+002
+8.88072890000e+004, +2.68499436276e+001, -7.18142830069e+002
+8.89227830000e+004, +2.61176647536e+001, -7.16831215274e+002
+8.90384260000e+004, +2.54908877670e+001, -7.15410414205e+002
+8.91542200000e+004, +2.51405673669e+001, -7.13946874181e+002
+8.92701650000e+004, +2.49073582582e+001, -7.12726981173e+002
+8.93862610000e+004, +2.46047300863e+001, -7.11725699931e+002
+8.95025070000e+004, +2.41329614361e+001, -7.10694642700e+002
+8.96189050000e+004, +2.36317941676e+001, -7.09544418661e+002
+8.97354540000e+004, +2.32467961063e+001, -7.08357154923e+002
+8.98521540000e+004, +2.29413840013e+001, -7.07060291399e+002
+8.99690070000e+004, +2.26974629490e+001, -7.05883712048e+002
+9.00860110000e+004, +2.23988004080e+001, -7.04783227680e+002
+9.02031680000e+004, +2.19844866398e+001, -7.03593485980e+002
+9.03204760000e+004, +2.16627541070e+001, -7.02286734234e+002
+9.04379380000e+004, +2.14182862838e+001, -7.00975147974e+002
+9.05555520000e+004, +2.12372560473e+001, -6.99696216384e+002
+9.06733190000e+004, +2.11126827674e+001, -6.98403528274e+002
+9.07912390000e+004, +2.10396983000e+001, -6.97117981954e+002
+9.09093130000e+004, +2.10783705197e+001, -6.95952675350e+002
+9.10275400000e+004, +2.10336521407e+001, -6.94956442763e+002
+9.11459210000e+004, +2.07789572666e+001, -6.93906107216e+002
+9.12644560000e+004, +2.05457195895e+001, -6.92717868602e+002
+9.13831450000e+004, +2.03913312144e+001, -6.91490975087e+002
+9.15019880000e+004, +2.02643897052e+001, -6.90253652055e+002
+9.16209860000e+004, +2.01798806000e+001, -6.89040082791e+002
+9.17401390000e+004, +2.01431633129e+001, -6.87797707041e+002
+9.18594470000e+004, +2.01453272276e+001, -6.86533848879e+002
+9.19789100000e+004, +2.02609578336e+001, -6.85298723101e+002
+9.20985280000e+004, +2.04881656868e+001, -6.84166386275e+002
+9.22183020000e+004, +2.07307531738e+001, -6.83248132857e+002
+9.23382310000e+004, +2.07662287323e+001, -6.82566209682e+002
+9.24583170000e+004, +2.04275261779e+001, -6.81766830344e+002
+9.25785580000e+004, +2.01392646925e+001, -6.80636303776e+002
+9.26989560000e+004, +1.99914760600e+001, -6.79470392259e+002
+9.28195110000e+004, +1.98735666918e+001, -6.78305269369e+002
+9.29402220000e+004, +1.98338852809e+001, -6.77145273383e+002
+9.30610910000e+004, +1.98224079678e+001, -6.75988187879e+002
+9.31821160000e+004, +1.98489740876e+001, -6.74821961177e+002
+9.33032990000e+004, +1.99446896683e+001, -6.73747805855e+002
+9.34246400000e+004, +2.00119889718e+001, -6.72726458615e+002
+9.35461380000e+004, +2.00450863664e+001, -6.71706001527e+002
+9.36677940000e+004, +2.00814912508e+001, -6.70705175492e+002
+9.37896090000e+004, +2.00944423977e+001, -6.69769989807e+002
+9.39115820000e+004, +2.00200740089e+001, -6.68837911601e+002
+9.40337140000e+004, +1.99138327378e+001, -6.67794754992e+002
+9.41560040000e+004, +1.98546662391e+001, -6.66756669712e+002
+9.42784540000e+004, +1.98045215302e+001, -6.65689007140e+002
+9.44010620000e+004, +1.98371965993e+001, -6.64599114738e+002
+9.45238310000e+004, +1.99056021754e+001, -6.63628915152e+002
+9.46467580000e+004, +1.98850733192e+001, -6.62679134026e+002
+9.47698460000e+004, +1.98653433426e+001, -6.61711191990e+002
+9.48930940000e+004, +1.97932265508e+001, -6.60806408650e+002
+9.50165020000e+004, +1.96548361671e+001, -6.59840128503e+002
+9.51400710000e+004, +1.94734699296e+001, -6.58769095605e+002
+9.52638000000e+004, +1.94040377140e+001, -6.57633012061e+002
+9.53876900000e+004, +1.93796071949e+001, -6.56543207983e+002
+9.55117410000e+004, +1.93318733117e+001, -6.55485848992e+002
+9.56359540000e+004, +1.92611153716e+001, -6.54369137776e+002
+9.57603280000e+004, +1.92727630614e+001, -6.53210118500e+002
+9.58848640000e+004, +1.93347014286e+001, -6.52092632153e+002
+9.60095620000e+004, +1.94041821241e+001, -6.51029791889e+002
+9.61344220000e+004, +1.94524334087e+001, -6.49957491577e+002
+9.62594440000e+004, +1.95715937301e+001, -6.48867874665e+002
+9.63846290000e+004, +1.97307683189e+001, -6.47900457316e+002
+9.65099770000e+004, +1.97926530089e+001, -6.47035221643e+002
+9.66354880000e+004, +1.96945630063e+001, -6.46102021579e+002
+9.67611620000e+004, +1.96328864305e+001, -6.45033556884e+002
+9.68870000000e+004, +1.96399336124e+001, -6.43950983052e+002
+9.70130010000e+004, +1.96626473581e+001, -6.42885888907e+002
+9.71391660000e+004, +1.97185267817e+001, -6.41804436258e+002
+9.72654950000e+004, +1.98015369821e+001, -6.40744449258e+002
+9.73919880000e+004, +1.99074603434e+001, -6.39665773347e+002
+9.75186460000e+004, +2.00689978682e+001, -6.38628885599e+002
+9.76454690000e+004, +2.02535203948e+001, -6.37648530508e+002
+9.77724560000e+004, +2.04847918692e+001, -6.36794366570e+002
+9.78996090000e+004, +2.05475670256e+001, -6.36113703222e+002
+9.80269270000e+004, +2.04009562178e+001, -6.35344008860e+002
+9.81544100000e+004, +2.01698666187e+001, -6.34394430937e+002
+9.82820600000e+004, +2.00260288300e+001, -6.33318777316e+002
+9.84098750000e+004, +1.99769418033e+001, -6.32220751756e+002
+9.85378570000e+004, +1.99573053595e+001, -6.31135023561e+002
+9.86660050000e+004, +1.99643876143e+001, -6.30090145806e+002
+9.87943200000e+004, +1.99546933754e+001, -6.29012855964e+002
+9.89228010000e+004, +1.99918127898e+001, -6.27962807304e+002
+9.90514500000e+004, +1.99836602405e+001, -6.26936165828e+002
+9.91802660000e+004, +1.99435625031e+001, -6.25883875467e+002
+9.93092500000e+004, +1.98809729224e+001, -6.24797758695e+002
+9.94384010000e+004, +1.98565350821e+001, -6.23628560777e+002
+9.95677200000e+004, +1.98906413060e+001, -6.22428404053e+002
+9.96972070000e+004, +1.99807912621e+001, -6.21262025696e+002
+9.98268630000e+004, +2.00701008090e+001, -6.20102777900e+002
+9.99566880000e+004, +2.02280373801e+001, -6.18945328586e+002
+1.00086681000e+005, +2.03945474080e+001, -6.17848568775e+002
+1.00216843000e+005, +2.05048977371e+001, -6.16788826555e+002
+1.00347175000e+005, +2.05826520935e+001, -6.15705788895e+002
+1.00477676000e+005, +2.06696958625e+001, -6.14572897222e+002
+1.00608347000e+005, +2.07875755069e+001, -6.13450411421e+002
+1.00739187000e+005, +2.08232629870e+001, -6.12333029898e+002
+1.00870198000e+005, +2.08912495167e+001, -6.11088509983e+002
+1.01001380000e+005, +2.10438317362e+001, -6.09827301720e+002
+1.01132732000e+005, +2.12450593408e+001, -6.08612336765e+002
+1.01264254000e+005, +2.13984880662e+001, -6.07374450685e+002
+1.01395948000e+005, +2.16247046041e+001, -6.06072463446e+002
+1.01527813000e+005, +2.19070337053e+001, -6.04800823023e+002
+1.01659849000e+005, +2.21853497032e+001, -6.03539789087e+002
+1.01792058000e+005, +2.24931174431e+001, -6.02238400321e+002
+1.01924438000e+005, +2.28224689482e+001, -6.00976777097e+002
+1.02056990000e+005, +2.31470359912e+001, -5.99673389487e+002
+1.02189715000e+005, +2.34997715225e+001, -5.98305406992e+002
+1.02322612000e+005, +2.38994583338e+001, -5.96884410560e+002
+1.02455682000e+005, +2.43877645771e+001, -5.95406338268e+002
+1.02588925000e+005, +2.50020238982e+001, -5.93881072728e+002
+1.02722342000e+005, +2.56740502651e+001, -5.92372879187e+002
+1.02855932000e+005, +2.65135572221e+001, -5.90779323472e+002
+1.02989696000e+005, +2.75038628385e+001, -5.89273181291e+002
+1.03123633000e+005, +2.85221704269e+001, -5.87837500766e+002
+1.03257745000e+005, +2.96047160805e+001, -5.86287829299e+002
+1.03392031000e+005, +3.08891451491e+001, -5.84655662533e+002
+1.03526492000e+005, +3.24758884642e+001, -5.82944611595e+002
+1.03661128000e+005, +3.44474172710e+001, -5.81255595032e+002
+1.03795939000e+005, +3.69338107004e+001, -5.79707377567e+002
+1.03930925000e+005, +3.98973753100e+001, -5.78558182409e+002
+1.04066087000e+005, +4.31768572812e+001, -5.77822456343e+002
+1.04201424000e+005, +4.71044543163e+001, -5.77908185529e+002
+1.04336938000e+005, +4.78462182754e+001, -5.81096249434e+002
+1.04472628000e+005, +4.95201268651e+001, -5.81451829369e+002
+1.04608494000e+005, +5.23157209850e+001, -5.82288231575e+002
+1.04744537000e+005, +5.53261710552e+001, -5.84092577995e+002
+1.04880757000e+005, +5.78477575127e+001, -5.86993777666e+002
+1.05017154000e+005, +5.94260892898e+001, -5.90521736902e+002
+1.05153728000e+005, +6.01809747699e+001, -5.94493066761e+002
+1.05290480000e+005, +5.96153310821e+001, -5.98816749381e+002
+1.05427410000e+005, +5.75837172503e+001, -6.02613942460e+002
+1.05564518000e+005, +5.46833933046e+001, -6.05410433544e+002
+1.05701804000e+005, +5.13025470076e+001, -6.07171324429e+002
+1.05839269000e+005, +4.78958308206e+001, -6.07771566346e+002
+1.05976912000e+005, +4.49488116765e+001, -6.07650939088e+002
+1.06114735000e+005, +4.23623517327e+001, -6.07225417407e+002
+1.06252737000e+005, +3.99930016452e+001, -6.06438818821e+002
+1.06390918000e+005, +3.79921523354e+001, -6.05368657966e+002
+1.06529279000e+005, +3.63467725403e+001, -6.04293824481e+002
+1.06667820000e+005, +3.47541134822e+001, -6.03257645576e+002
+1.06806541000e+005, +3.32971573134e+001, -6.01990576897e+002
+1.06945442000e+005, +3.21687725497e+001, -6.00687922946e+002
+1.07084524000e+005, +3.11383124133e+001, -5.99569706220e+002
+1.07223787000e+005, +3.00328029532e+001, -5.98423538849e+002
+1.07363231000e+005, +2.90190954186e+001, -5.97135501051e+002
+1.07502857000e+005, +2.81617435692e+001, -5.95820249110e+002
+1.07642664000e+005, +2.73835616995e+001, -5.94512533854e+002
+1.07782653000e+005, +2.67594954802e+001, -5.93191063285e+002
+1.07922824000e+005, +2.61377967002e+001, -5.91983260102e+002
+1.08063177000e+005, +2.55168402190e+001, -5.90687654445e+002
+1.08203713000e+005, +2.50462273673e+001, -5.89370728557e+002
+1.08344431000e+005, +2.46238178929e+001, -5.88135876130e+002
+1.08485333000e+005, +2.42021114028e+001, -5.86876239323e+002
+1.08626417000e+005, +2.39212416142e+001, -5.85591334205e+002
+1.08767685000e+005, +2.37344186541e+001, -5.84388892352e+002
+1.08909137000e+005, +2.35875518746e+001, -5.83288799432e+002
+1.09050773000e+005, +2.34445452233e+001, -5.82288231683e+002
+1.09192593000e+005, +2.32120103162e+001, -5.81389779189e+002
+1.09334598000e+005, +2.28522788398e+001, -5.80433026302e+002
+1.09476787000e+005, +2.25709647196e+001, -5.79389742431e+002
+1.09619161000e+005, +2.22827281498e+001, -5.78399044643e+002
+1.09761720000e+005, +2.19621114356e+001, -5.77322784993e+002
+1.09904465000e+005, +2.17671968709e+001, -5.76190392149e+002
+1.10047395000e+005, +2.16647837074e+001, -5.75146203426e+002
+1.10190512000e+005, +2.15356338718e+001, -5.74192314753e+002
+1.10333814000e+005, +2.13824169917e+001, -5.73228920663e+002
+1.10477303000e+005, +2.12706114791e+001, -5.72324452455e+002
+1.10620978000e+005, +2.10750822159e+001, -5.71531406204e+002
+1.10764840000e+005, +2.07131367279e+001, -5.70661112812e+002
+1.10908889000e+005, +2.03804140735e+001, -5.69624877267e+002
+1.11053126000e+005, +2.01568319723e+001, -5.68543134250e+002
+1.11197550000e+005, +2.00082546393e+001, -5.67509133660e+002
+1.11342162000e+005, +1.98654504968e+001, -5.66526834527e+002
+1.11486962000e+005, +1.96984655355e+001, -5.65571487694e+002
+1.11631950000e+005, +1.95320249421e+001, -5.64544375147e+002
+1.11777127000e+005, +1.94382035056e+001, -5.63534285127e+002
+1.11922493000e+005, +1.93479146462e+001, -5.62602083127e+002
+1.12068048000e+005, +1.92070173406e+001, -5.61671568593e+002
+1.12213792000e+005, +1.91053207232e+001, -5.60731642829e+002
+1.12359725000e+005, +1.89673039260e+001, -5.59854054949e+002
+1.12505848000e+005, +1.87626701176e+001, -5.58931828298e+002
+1.12652162000e+005, +1.85842425421e+001, -5.57918502442e+002
+1.12798666000e+005, +1.84634218374e+001, -5.56880061519e+002
+1.12945360000e+005, +1.84238043233e+001, -5.55895326242e+002
+1.13092245000e+005, +1.83832966101e+001, -5.54980359440e+002
+1.13239321000e+005, +1.82702081176e+001, -5.54084138718e+002
+1.13386588000e+005, +1.81366679161e+001, -5.53131689370e+002
+1.13534047000e+005, +1.80322677923e+001, -5.52161578429e+002
+1.13681697000e+005, +1.79644079017e+001, -5.51191028320e+002
+1.13829540000e+005, +1.79172080350e+001, -5.50243082199e+002
+1.13977575000e+005, +1.78665539870e+001, -5.49302928002e+002
+1.14125802000e+005, +1.78122064672e+001, -5.48359171623e+002
+1.14274222000e+005, +1.77777561851e+001, -5.47416975650e+002
+1.14422835000e+005, +1.77718799480e+001, -5.46495018739e+002
+1.14571642000e+005, +1.77659077945e+001, -5.45624194331e+002
+1.14720642000e+005, +1.76949677288e+001, -5.44768176496e+002
+1.14869835000e+005, +1.76092429420e+001, -5.43866200286e+002
+1.15019223000e+005, +1.75626123293e+001, -5.42924494114e+002
+1.15168805000e+005, +1.75558256186e+001, -5.42015894011e+002
+1.15318582000e+005, +1.75411365718e+001, -5.41134042434e+002
+1.15468553000e+005, +1.75265941301e+001, -5.40272104163e+002
+1.15618720000e+005, +1.74651220453e+001, -5.39413755961e+002
+1.15769081000e+005, +1.74102315107e+001, -5.38536395418e+002
+1.15919638000e+005, +1.73564819767e+001, -5.37642755123e+002
+1.16070391000e+005, +1.73240709718e+001, -5.36739156925e+002
+1.16221341000e+005, +1.73142689001e+001, -5.35852374615e+002
+1.16372486000e+005, +1.73084237853e+001, -5.34976828271e+002
+1.16523828000e+005, +1.72966963923e+001, -5.34109282080e+002
+1.16675367000e+005, +1.72851835664e+001, -5.33260007481e+002
+1.16827102000e+005, +1.72602193144e+001, -5.32419618330e+002
+1.16979036000e+005, +1.72373249424e+001, -5.31555242042e+002
+1.17131166000e+005, +1.72153273253e+001, -5.30712805543e+002
+1.17283495000e+005, +1.71687066715e+001, -5.29874293657e+002
+1.17436022000e+005, +1.71251440674e+001, -5.29024165882e+002
+1.17588747000e+005, +1.70826490720e+001, -5.28144367415e+002
+1.17741670000e+005, +1.70651017390e+001, -5.27275500634e+002
+1.17894793000e+005, +1.70521948619e+001, -5.26431113656e+002
+1.18048115000e+005, +1.70264405549e+001, -5.25583232004e+002
+1.18201636000e+005, +1.69884585963e+001, -5.24735734565e+002
+1.18355356000e+005, +1.69585103270e+001, -5.23872024377e+002
+1.18509277000e+005, +1.69217123308e+001, -5.22981843628e+002
+1.18663398000e+005, +1.69344115255e+001, -5.22099252424e+002
+1.18817719000e+005, +1.69568241889e+001, -5.21262074095e+002
+1.18972241000e+005, +1.69276785291e+001, -5.20442779798e+002
+1.19126964000e+005, +1.68651227173e+001, -5.19563161193e+002
+1.19281888000e+005, +1.68562930733e+001, -5.18615100083e+002
+1.19437014000e+005, +1.69571660307e+001, -5.17699009393e+002
+1.19592341000e+005, +1.70725145275e+001, -5.16874400966e+002
+1.19747870000e+005, +1.71196228198e+001, -5.16081273938e+002
+1.19903602000e+005, +1.71410524620e+001, -5.15258244818e+002
+1.20059536000e+005, +1.72099197097e+001, -5.14418754780e+002
+1.20215673000e+005, +1.73086414956e+001, -5.13592996560e+002
+1.20372013000e+005, +1.74531379359e+001, -5.12779831110e+002
+1.20528556000e+005, +1.76717556997e+001, -5.12143143000e+002
+1.20685303000e+005, +1.76988796373e+001, -5.11668235485e+002
+1.20842254000e+005, +1.74828097206e+001, -5.11124649312e+002
+1.20999409000e+005, +1.71870698862e+001, -5.10361536304e+002
+1.21156768000e+005, +1.69785015510e+001, -5.09426156597e+002
+1.21314332000e+005, +1.69175548741e+001, -5.08457578115e+002
+1.21472101000e+005, +1.69620462478e+001, -5.07546068628e+002
+1.21630075000e+005, +1.70020914443e+001, -5.06689937770e+002
+1.21788254000e+005, +1.70309730904e+001, -5.05855246400e+002
+1.21946639000e+005, +1.71134271793e+001, -5.05006220979e+002
+1.22105230000e+005, +1.71998574907e+001, -5.04242103706e+002
+1.22264028000e+005, +1.72546234505e+001, -5.03515315374e+002
+1.22423032000e+005, +1.72825542179e+001, -5.02796012588e+002
+1.22582242000e+005, +1.72860654455e+001, -5.02089525602e+002
+1.22741660000e+005, +1.72627249027e+001, -5.01418644734e+002
+1.22901285000e+005, +1.71212594131e+001, -5.00717219397e+002
+1.23061118000e+005, +1.69802535470e+001, -4.99914618727e+002
+1.23221158000e+005, +1.69108625669e+001, -4.99081066984e+002
+1.23381407000e+005, +1.68310363573e+001, -4.98256432452e+002
+1.23541864000e+005, +1.67685734937e+001, -4.97413014215e+002
+1.23702529000e+005, +1.67082925663e+001, -4.96566253172e+002
+1.23863404000e+005, +1.66460965685e+001, -4.95688562054e+002
+1.24024488000e+005, +1.65978145736e+001, -4.94735163630e+002
+1.24185781000e+005, +1.66689409754e+001, -4.93776522206e+002
+1.24347284000e+005, +1.68125083748e+001, -4.92845789954e+002
+1.24508997000e+005, +1.69972013577e+001, -4.92021121898e+002
+1.24670921000e+005, +1.71776932366e+001, -4.91238490871e+002
+1.24833055000e+005, +1.73434373850e+001, -4.90527257738e+002
+1.24995400000e+005, +1.75400025653e+001, -4.89879330114e+002
+1.25157956000e+005, +1.75414275717e+001, -4.89414458868e+002
+1.25320723000e+005, +1.74506401138e+001, -4.88701474792e+002
+1.25483702000e+005, +1.73830809402e+001, -4.87938505704e+002
+1.25646893000e+005, +1.73475489012e+001, -4.87235831364e+002
+1.25810297000e+005, +1.73937787756e+001, -4.86487671361e+002
+1.25973912000e+005, +1.74032726780e+001, -4.85814938559e+002
+1.26137741000e+005, +1.72721346891e+001, -4.85209312606e+002
+1.26301782000e+005, +1.70897127340e+001, -4.84429786493e+002
+1.26466037000e+005, +1.70870233863e+001, -4.83493845512e+002
+1.26630506000e+005, +1.70618578253e+001, -4.82775336013e+002
+1.26795188000e+005, +1.70930795259e+001, -4.82007329379e+002
+1.26960085000e+005, +1.69749341681e+001, -4.81251503358e+002
+1.27125196000e+005, +1.69110074590e+001, -4.80415515354e+002
+1.27290522000e+005, +1.69968099371e+001, -4.79566647865e+002
+1.27456063000e+005, +1.70248449366e+001, -4.78916053617e+002
+1.27621819000e+005, +1.69718744387e+001, -4.78156432064e+002
+1.27787790000e+005, +1.68161006812e+001, -4.77355057704e+002
+1.27953978000e+005, +1.67976519947e+001, -4.76500040757e+002
+1.28120382000e+005, +1.67957615245e+001, -4.75691705566e+002
+1.28287002000e+005, +1.67743762886e+001, -4.74821184341e+002
+1.28453838000e+005, +1.68231316007e+001, -4.73975111407e+002
+1.28620892000e+005, +1.68551359695e+001, -4.73136175748e+002
+1.28788163000e+005, +1.68152114249e+001, -4.72329837098e+002
+1.28955651000e+005, +1.68507443164e+001, -4.71433937630e+002
+1.29123358000e+005, +1.70089341852e+001, -4.70479221774e+002
+1.29291282000e+005, +1.72506736821e+001, -4.69640102191e+002
+1.29459425000e+005, +1.75525536061e+001, -4.68821375453e+002
+1.29627786000e+005, +1.78138447387e+001, -4.68095356479e+002
+1.29796367000e+005, +1.81901206721e+001, -4.67513071040e+002
+1.29965166000e+005, +1.84774321094e+001, -4.67136582661e+002
+1.30134186000e+005, +1.85527339311e+001, -4.66805774318e+002
+1.30303425000e+005, +1.84459579470e+001, -4.66536532411e+002
+1.30472884000e+005, +1.80940506046e+001, -4.66085959508e+002
+1.30642563000e+005, +1.77349733642e+001, -4.65441033918e+002
+1.30812463000e+005, +1.75049612035e+001, -4.64716538255e+002
+1.30982584000e+005, +1.73532060095e+001, -4.63878055945e+002
+1.31152927000e+005, +1.72043529362e+001, -4.63043403573e+002
+1.31323490000e+005, +1.71779294566e+001, -4.62225734431e+002
+1.31494276000e+005, +1.72359749824e+001, -4.61478406718e+002
+1.31665284000e+005, +1.70373275410e+001, -4.60782948054e+002
+1.31836514000e+005, +1.68422136325e+001, -4.59952389191e+002
+1.32007967000e+005, +1.68052934929e+001, -4.59060201880e+002
+1.32179643000e+005, +1.69078051618e+001, -4.58195223752e+002
+1.32351542000e+005, +1.69700866614e+001, -4.57486639301e+002
+1.32523664000e+005, +1.69175816286e+001, -4.56789392243e+002
+1.32696011000e+005, +1.68908217831e+001, -4.55997528751e+002
+1.32868581000e+005, +1.69540828080e+001, -4.55269205304e+002
+1.33041376000e+005, +1.68182073991e+001, -4.54572511511e+002
+1.33214396000e+005, +1.67041077062e+001, -4.53819837510e+002
+1.33387641000e+005, +1.66649599872e+001, -4.52891451039e+002
+1.33561111000e+005, +1.67429021725e+001, -4.52074031735e+002
+1.33734807000e+005, +1.67728229914e+001, -4.51263099624e+002
+1.33908728000e+005, +1.67966614966e+001, -4.50521642955e+002
+1.34082876000e+005, +1.68779740066e+001, -4.49723082519e+002
+1.34257250000e+005, +1.69577213532e+001, -4.48990300709e+002
+1.34431851000e+005, +1.70045095425e+001, -4.48309948241e+002
+1.34606679000e+005, +1.69731626826e+001, -4.47633287328e+002
+1.34781735000e+005, +1.69567785276e+001, -4.46901033938e+002
+1.34957018000e+005, +1.69207740354e+001, -4.46135010958e+002
+1.35132529000e+005, +1.68648571262e+001, -4.45320723114e+002
+1.35308268000e+005, +1.70038421070e+001, -4.44579266436e+002
+1.35484236000e+005, +1.70075143331e+001, -4.43942740021e+002
+1.35660433000e+005, +1.69753614456e+001, -4.43227531204e+002
+1.35836859000e+005, +1.69530431641e+001, -4.42506672026e+002
+1.36013514000e+005, +1.68849954636e+001, -4.41779893822e+002
+1.36190399000e+005, +1.67410465677e+001, -4.41017837207e+002
+1.36367514000e+005, +1.66909459111e+001, -4.40180695566e+002
+1.36544859000e+005, +1.67277440820e+001, -4.39353951678e+002
+1.36722435000e+005, +1.67251863376e+001, -4.38506040112e+002
+1.36900242000e+005, +1.68156039951e+001, -4.37669330970e+002
+1.37078280000e+005, +1.69393019929e+001, -4.36834601523e+002
+1.37256550000e+005, +1.71148894827e+001, -4.36033521324e+002
+1.37435052000e+005, +1.72593826113e+001, -4.35383323818e+002
+1.37613786000e+005, +1.74173190028e+001, -4.34759349430e+002
+1.37792752000e+005, +1.74306994659e+001, -4.34147530726e+002
+1.37971951000e+005, +1.74269856152e+001, -4.33600776530e+002
+1.38151383000e+005, +1.73446355586e+001, -4.32926700614e+002
+1.38331048000e+005, +1.72957918691e+001, -4.32256393643e+002
+1.38510947000e+005, +1.71840447049e+001, -4.31599597062e+002
+1.38691080000e+005, +1.70722374477e+001, -4.30833204040e+002
+1.38871447000e+005, +1.70022815373e+001, -4.30049135065e+002
+1.39052049000e+005, +1.69549991415e+001, -4.29227786039e+002
+1.39232885000e+005, +1.69352134791e+001, -4.28453847542e+002
+1.39413957000e+005, +1.69480033887e+001, -4.27653014029e+002
+1.39595264000e+005, +1.69092167272e+001, -4.26892833117e+002
+1.39776807000e+005, +1.68671835637e+001, -4.26158786728e+002
+1.39958587000e+005, +1.68436346861e+001, -4.25296098333e+002
+1.40140602000e+005, +1.68467341764e+001, -4.24492232719e+002
+1.40322854000e+005, +1.68499163091e+001, -4.23702137483e+002
+1.40505344000e+005, +1.68325269598e+001, -4.22908459746e+002
+1.40688070000e+005, +1.68355002432e+001, -4.22090221423e+002
+1.40871035000e+005, +1.68321912858e+001, -4.21235467572e+002
+1.41054237000e+005, +1.69111603071e+001, -4.20402782869e+002
+1.41237677000e+005, +1.69925028101e+001, -4.19561243949e+002
+1.41421356000e+005, +1.70446001806e+001, -4.18766894357e+002
+1.41605274000e+005, +1.71282016168e+001, -4.17989322185e+002
+1.41789431000e+005, +1.71739318381e+001, -4.17218083223e+002
+1.41973828000e+005, +1.71921940009e+001, -4.16418367507e+002
+1.42158464000e+005, +1.72182906101e+001, -4.15563551531e+002
+1.42343341000e+005, +1.73227000265e+001, -4.14697835862e+002
+1.42528458000e+005, +1.74397433602e+001, -4.13891049341e+002
+1.42713815000e+005, +1.75649295887e+001, -4.13025853483e+002
+1.42899414000e+005, +1.76494606369e+001, -4.12258913805e+002
+1.43085254000e+005, +1.77590629834e+001, -4.11445434275e+002
+1.43271336000e+005, +1.77960720534e+001, -4.10649655298e+002
+1.43457660000e+005, +1.79434334586e+001, -4.09827263381e+002
+1.43644226000e+005, +1.80165950568e+001, -4.08965157042e+002
+1.43831034000e+005, +1.81414268332e+001, -4.08063192800e+002
+1.44018086000e+005, +1.83653588923e+001, -4.07144331997e+002
+1.44205381000e+005, +1.85710998089e+001, -4.06205396785e+002
+1.44392920000e+005, +1.89437283245e+001, -4.05288102391e+002
+1.44580702000e+005, +1.92817778316e+001, -4.04410882563e+002
+1.44768729000e+005, +1.96605555747e+001, -4.03577432618e+002
+1.44957000000e+005, +2.00966602012e+001, -4.02690744656e+002
+1.45145516000e+005, +2.06679821006e+001, -4.01820027371e+002
+1.45334277000e+005, +2.12474881816e+001, -4.01006516344e+002
+1.45523283000e+005, +2.19853095172e+001, -4.00275307196e+002
+1.45712536000e+005, +2.28113508578e+001, -3.99714932235e+002
+1.45902034000e+005, +2.35566138698e+001, -3.99270155490e+002
+1.46091779000e+005, +2.41322146259e+001, -3.98905003146e+002
+1.46281771000e+005, +2.48138430258e+001, -3.98462206006e+002
+1.46472010000e+005, +2.55031814540e+001, -3.98234817592e+002
+1.46662496000e+005, +2.61189347026e+001, -3.98094069648e+002
+1.46853230000e+005, +2.64543893933e+001, -3.97975437725e+002
+1.47044212000e+005, +2.67758287265e+001, -3.97852913416e+002
+1.47235443000e+005, +2.70149808113e+001, -3.97708298551e+002
+1.47426922000e+005, +2.70894766670e+001, -3.97472914795e+002
+1.47618650000e+005, +2.71557389877e+001, -3.97133837710e+002
+1.47810627000e+005, +2.73247384676e+001, -3.96846683428e+002
+1.48002854000e+005, +2.74843601586e+001, -3.96609119483e+002
+1.48195331000e+005, +2.75608614353e+001, -3.96480614006e+002
+1.48388059000e+005, +2.76179091059e+001, -3.96320267401e+002
+1.48581037000e+005, +2.75545076069e+001, -3.96135271462e+002
